frame.number|ip.src|ip.dst|_ws.col.protocol|frame.len|kerberos.CNameString|kerberos.realm|kerberos.SNameString|ntlmssp.auth.username|ntlmssp.auth.domain|ntlmssp.auth.hostname
22303|10.1.17.215|10.1.17.2|DRSUAPI|338||||||
22304|10.1.17.2|10.1.17.215|DRSUAPI|450||||||
22305|10.1.17.215|10.1.17.2|DRSUAPI|194||||||
22306|10.1.17.2|10.1.17.215|DRSUAPI|194||||||
22310|10.1.17.215|10.1.17.2|EPM|222||||||
22311|10.1.17.2|10.1.17.215|EPM|322||||||
22312|10.1.17.215|10.1.17.2|DRSUAPI|258||||||
22313|10.1.17.2|10.1.17.215|DRSUAPI|258||||||
22314|10.1.17.215|10.1.17.2|DRSUAPI|338||||||
22315|10.1.17.2|10.1.17.215|DRSUAPI|450||||||
22316|10.1.17.215|10.1.17.2|DRSUAPI|194||||||
22317|10.1.17.2|10.1.17.215|DRSUAPI|194||||||
22321|10.1.17.215|10.1.17.2|LDAP|404||||||
22323|10.1.17.2|10.1.17.215|LDAP|1450||||||
22326|10.1.17.215|10.1.17.2|LDAP|742||BLUEMOONTUESDAY.COM|LDAP,WIN-GSH54QLW48D.bluemoontuesday.com,bluemoontuesday.com|||
22328|10.1.17.2|10.1.17.215|LDAP|264||||||
22329|10.1.17.215|10.1.17.2|LDAP|238||||||
22330|10.1.17.2|10.1.17.215|LDAP|262||||||
22331|10.1.17.215|10.1.17.2|LDAP|243||||||
22332|10.1.17.2|10.1.17.215|LDAP|220||||||
22333|10.1.17.215|10.1.17.2|LDAP|237||||||
22334|10.1.17.2|10.1.17.215|LDAP|273||||||
22350|10.1.17.215|10.1.17.2|LDAP|742||BLUEMOONTUESDAY.COM|LDAP,WIN-GSH54QLW48D.bluemoontuesday.com,bluemoontuesday.com|||
22355|10.1.17.2|10.1.17.215|LDAP|264||||||
22356|10.1.17.215|10.1.17.2|LDAP|172||||||
22359|10.1.17.2|10.1.17.215|LDAP|330||||||
22361|10.1.17.215|10.1.17.2|LDAP|312||||||
22362|10.1.17.2|10.1.17.215|LDAP|340||||||
22363|10.1.17.215|10.1.17.2|LDAP|129||||||
22366|10.1.17.215|10.1.17.2|LDAP|129||||||
22490|10.1.17.215|10.1.17.2|EPM|222||||||
22491|10.1.17.2|10.1.17.215|EPM|322||||||
22492|10.1.17.215|10.1.17.2|DRSUAPI|258||||||
